번호,발령일시,발령원,발령구분,재난종류,지역
189,2019-07-26 6:00,DMB인터페이스,DMB,호우 경보,"속초시,양구군,인제군,고성군,양양군"
190,2019-07-26 5:40,DMB인터페이스,DMB,호우 경보,"강화군,철원군,동두천시,고양시,파주시,김포시,양주시,포천시"
191,2019-07-26 5:09,DMB인터페이스,DMB,호우 경보,연천군
192,2019-07-25 5:36,DMB인터페이스,DMB,호우 경보,"천안시,아산시,서산시,태안군,당진군"
193,2019-07-23 15:03,DMB인터페이스,DMB,폭염경보,"포항시,경주시,영천시,대구광역시,경산시,청도군"
194,2019-07-23 9:00,DMB인터페이스,DMB,폭염경보,"강릉시,속초시,고성군,양양군"
195,2019-07-22 6:24,DMB인터페이스,DMB,호우 경보,제주특별자치도
196,2019-07-21 11:10,DMB인터페이스,DMB,지진통보,"대전광역시,충청북도,경상북도"
197,2019-07-20 15:57,DMB인터페이스,DMB,호우 경보,울진군
198,2019-07-20 12:31,DMB인터페이스,DMB,호우 경보,제주특별자치도
199,2019-07-20 11:04,DMB인터페이스,DMB,강풍 경보,포항시
200,2019-07-20 10:30,DMB인터페이스,DMB,호우 경보,경주시
201,2019-07-20 6:37,DMB인터페이스,DMB,강풍 경보,"사천시,부산광역시,남해군,거제시,통영시"
202,2019-07-20 6:19,DMB인터페이스,DMB,호우 경보,"김해시,밀양시,양산시,울산광역시"
203,2019-07-20 0:57,DMB인터페이스,DMB,호우 경보,"사천시,남해군,하동군,산청군,고성군"
204,2019-07-19 23:06,DMB인터페이스,DMB,태풍 경보,"목포시,영암군,무안군,함평군,영광군,신안군"
205,2019-07-19 23:06,DMB인터페이스,DMB,태풍 경보,"목포시,나주시,담양군,곡성군,광주광역시,함평군,영광군,장성군,신안군"
206,2019-07-19 22:29,DMB인터페이스,DMB,태풍 경보,"구례군,화순군,영암군,무안군"
207,2019-07-19 22:29,DMB인터페이스,DMB,태풍 경보,"여수시,광양시,고흥군,보성군,장흥군,강진군,해남군,완도군,진도군,순천시"
208,2019-07-19 17:59,DMB인터페이스,DMB,태풍 경보,"제주시,서귀포시"
209,2019-07-19 17:59,DMB인터페이스,DMB,태풍 경보,제주특별자치도
210,2019-07-19 8:32,DMB인터페이스,DMB,호우 경보,"여수시,고흥군,완도군"
211,2019-07-19 7:28,DMB인터페이스,DMB,호우 경보,부산광역시
212,2019-07-19 5:56,DMB인터페이스,DMB,호우 경보,"창원시,제주특별자치도,거제시,통영시"
213,2019-07-19 1:32,DMB인터페이스,DMB,호우 경보,제주특별자치도
214,2019-07-18 8:31,DMB인터페이스,DMB,호우 경보,제주특별자치도
215,2019-07-18 7:45,DMB인터페이스,DMB,호우 경보,서귀포시
216,2019-07-16 18:02,DMB인터페이스,DMB,호우 경보,전주시
217,2019-07-15 22:01,DMB인터페이스,DMB,호우 경보,합천군
218,2019-07-15 20:15,DMB인터페이스,DMB,호우 경보,남원시
219,2019-07-15 16:54,DMB인터페이스,DMB,호우 경보,고양시
220,2019-07-15 15:20,DMB인터페이스,DMB,호우 경보,용인시
221,2019-07-13 9:19,DMB인터페이스,DMB,호우 경보,태안군
222,2019-07-11 0:47,DMB인터페이스,DMB,호우 경보,"속초시,양구군,인제군,고성군,양양군"
