기간,품목명,품목코드,국가명,수출중량,수입중량,수출금액,수입금액,무역수지
2020,의류와 그 부속품(메리야스 편물이나 뜨개질편물은 제외한다),62,중국,"10,693.40","91,778.30","188,630","1,532,932","-1,344,302"
2020,"제품으로 된 방직용 섬유의 그 밖의 물품, 세트, 사용하던 의류ㆍ방직용 섬유제품, 넝마",63,일본,"3,610.60","28,843.70","117,527","23,362","94,164"
2020,"제품으로 된 방직용 섬유의 그 밖의 물품, 세트, 사용하던 의류ㆍ방직용 섬유제품, 넝마",63,중국,"4,513.60","130,425.00","204,677","964,916","-760,239"
2020,"신발류ㆍ각반과 이와 유사한 것, 이들의 부분품",64,일본,"1,090.40",178.6,"38,455","6,999","31,457"
2020,"신발류ㆍ각반과 이와 유사한 것, 이들의 부분품",64,중국,"4,787.80","66,433.20","119,106","884,788","-765,683"
2020,모자류와 그 부분품,65,일본,131.6,48.5,"7,991","7,036",955
2020,모자류와 그 부분품,65,중국,600.1,"4,479.40","22,107","87,441","-65,334"
2020,산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용 채찍과 이들의 부분품,66,일본,19.3,7.4,"1,046",195,851
2020,산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용 채찍과 이들의 부분품,66,중국,30.4,"14,941.70",209,"81,141","-80,932"
2020,"조제 깃털ㆍ솜털과 그 제품, 조화, 사람 머리카락으로 된 제품",67,일본,23.5,1.8,"6,865",99,"6,766"
2020,"조제 깃털ㆍ솜털과 그 제품, 조화, 사람 머리카락으로 된 제품",67,중국,144.1,"4,679.20","2,818","55,784","-52,966"
2020,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나 이와 유사한 재료의 제품,68,일본,"28,650.80","13,995.50","51,286","137,257","-85,971"
2020,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나 이와 유사한 재료의 제품,68,중국,"24,618.60","2,127,466.20","140,118","742,273","-602,154"
2020,도자제품,69,일본,"3,941.40","7,052.90","32,181","169,935","-137,754"
2020,도자제품,69,중국,"4,444.10","1,231,395.60","105,525","696,406","-590,882"
2020,유리와 유리제품,70,일본,"30,231.10","49,453.70","166,629","545,881","-379,252"
2020,유리와 유리제품,70,중국,"109,598.80","677,476.00","584,488","874,999","-290,511"
2020,"천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을 입힌 금속과 이들의 제품, 모조 신변장식용품, 주화",71,일본,"10,193.90","3,643.80","1,255,350","629,381","625,968"
2020,"천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을 입힌 금속과 이들의 제품, 모조 신변장식용품, 주화",71,중국,"2,998.00","3,185.30","236,028","355,950","-119,922"
2020,철강,72,일본,"2,722,845.30","7,080,391.80","1,942,052","3,522,027","-1,579,976"
2020,철강,72,중국,"4,796,005.60","4,998,870.80","3,200,747","3,407,553","-206,806"
2020,철강의 제품,73,일본,"369,350.20","124,413.90","963,707","886,384","77,323"
2020,철강의 제품,73,중국,"275,102.90","1,715,519.50","1,111,627","3,049,058","-1,937,431"
2020,구리와 그 제품,74,일본,"21,281.90","44,104.50","152,314","545,034","-392,720"
