품목별 국가별  수출입실적,,,,,,,,
,,,,,,,,
"통계기준:수리일,조회구분:2020~2020,품목명:전체,국가:[중국, 일본]",,,,,,,,
,,,,,,,,"단위:천 불(USD 1,000) / 톤(TON)"
기간,품목명,품목코드,국가명,수출중량,수입중량,수출금액,수입금액,무역수지
2020,인조스테이플섬유,55,일본,"31,991.3","11,485.3","46,926","36,065","10,861"
2020,인조스테이플섬유,55,중국,"115,517.8","58,397.4","227,032","196,965","30,067"
2020,"워딩(wadding)ㆍ펠트(felt)ㆍ부직포, 특수사, 끈ㆍ배의 밧줄(cordage)ㆍ로프ㆍ케이블과 이들의 제품",56,일본,"22,320.0","7,159.1","73,446","70,148","3,298"
2020,"워딩(wadding)ㆍ펠트(felt)ㆍ부직포, 특수사, 끈ㆍ배의 밧줄(cordage)ㆍ로프ㆍ케이블과 이들의 제품",56,중국,"11,650.8","198,273.4","93,419","745,488","-652,069"
2020,양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개,57,일본,88.4,135.2,792,618,174
2020,양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개,57,중국,79.2,"26,001.6",561,"57,623","-57,063"
2020,"특수직물, 터프트(tuft)한 직물, 레이스, 태피스트리(tapestry), 트리밍(trimming), 자수천",58,일본,933.3,174.2,"7,636","6,504","1,133"
2020,"특수직물, 터프트(tuft)한 직물, 레이스, 태피스트리(tapestry), 트리밍(trimming), 자수천",58,중국,639.3,"6,369.0","26,800","36,433","-9,633"
2020,"침투ㆍ도포ㆍ피복하거나 적층한 방직용 섬유의 직물, 공업용인 방직용 섬유제품",59,일본,"4,970.9",446.7,"26,491","29,165","-2,673"
2020,"침투ㆍ도포ㆍ피복하거나 적층한 방직용 섬유의 직물, 공업용인 방직용 섬유제품",59,중국,"6,964.4","28,419.7","134,427","140,153","-5,726"
2020,메리야스 편물과 뜨개질 편물,60,일본,"1,954.8",297.9,"20,679","10,195","10,484"
2020,메리야스 편물과 뜨개질 편물,60,중국,"12,163.6","9,724.0","111,607","45,852","65,755"
2020,의류와 그 부속품(메리야스 편물이나 뜨개질 편물에만 적용한다),61,일본,"6,115.2",158.0,"218,957","33,568","185,389"
2020,의류와 그 부속품(메리야스 편물이나 뜨개질 편물에만 적용한다),61,중국,"9,024.4","72,799.6","109,842","1,093,582","-983,740"
2020,의류와 그 부속품(메리야스 편물이나 뜨개질편물은 제외한다),62,일본,"1,465.1",144.9,"83,813","32,682","51,131"
2020,의류와 그 부속품(메리야스 편물이나 뜨개질편물은 제외한다),62,중국,"10,693.4","91,778.3","188,630","1,532,932","-1,344,302"
2020,"제품으로 된 방직용 섬유의 그 밖의 물품, 세트, 사용하던 의류ㆍ방직용 섬유제품, 넝마",63,일본,"3,610.6","28,843.7","117,527","23,362","94,164"
2020,"제품으로 된 방직용 섬유의 그 밖의 물품, 세트, 사용하던 의류ㆍ방직용 섬유제품, 넝마",63,중국,"4,513.6","130,425.0","204,677","964,916","-760,239"
2020,"신발류ㆍ각반과 이와 유사한 것, 이들의 부분품",64,일본,"1,090.4",178.6,"38,455","6,999","31,457"
2020,"신발류ㆍ각반과 이와 유사한 것, 이들의 부분품",64,중국,"4,787.8","66,433.2","119,106","884,788","-765,683"
2020,모자류와 그 부분품,65,일본,131.6,48.5,"7,991","7,036",955
2020,모자류와 그 부분품,65,중국,600.1,"4,479.4","22,107","87,441","-65,334"
2020,산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용 채찍과 이들의 부분품,66,일본,19.3,7.4,"1,046",195,851
2020,산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용 채찍과 이들의 부분품,66,중국,30.4,"14,941.7",209,"81,141","-80,932"
2020,"조제 깃털ㆍ솜털과 그 제품, 조화, 사람 머리카락으로 된 제품",67,일본,23.5,1.8,"6,865",99,"6,766"
2020,"조제 깃털ㆍ솜털과 그 제품, 조화, 사람 머리카락으로 된 제품",67,중국,144.1,"4,679.2","2,818","55,784","-52,966"
2020,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나 이와 유사한 재료의 제품,68,일본,"28,650.8","13,995.5","51,286","137,257","-85,971"
2020,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나 이와 유사한 재료의 제품,68,중국,"24,618.6","2,127,466.2","140,118","742,273","-602,154"
2020,도자제품,69,일본,"3,941.4","7,052.9","32,181","169,935","-137,754"
2020,도자제품,69,중국,"4,444.1","1,231,395.6","105,525","696,406","-590,882"
2020,유리와 유리제품,70,일본,"30,231.1","49,453.7","166,629","545,881","-379,252"
2020,유리와 유리제품,70,중국,"109,598.8","677,476.0","584,488","874,999","-290,511"
2020,"천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을 입힌 금속과 이들의 제품, 모조 신변장식용품, 주화",71,일본,"10,193.9","3,643.8","1,255,350","629,381","625,968"
2020,"천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을 입힌 금속과 이들의 제품, 모조 신변장식용품, 주화",71,중국,"2,998.0","3,185.3","236,028","355,950","-119,922"
2020,철강,72,일본,"2,722,845.3","7,080,391.8","1,942,052","3,522,027","-1,579,976"
2020,철강,72,중국,"4,796,005.6","4,998,870.8","3,200,747","3,407,553","-206,806"
2020,철강의 제품,73,일본,"369,350.2","124,413.9","963,707","886,384","77,323"
2020,철강의 제품,73,중국,"275,102.9","1,715,519.5","1,111,627","3,049,058","-1,937,431"
2020,구리와 그 제품,74,일본,"21,281.9","44,104.5","152,314","545,034","-392,720"
2020,구리와 그 제품,74,중국,"295,804.3","66,482.7","1,973,461","429,885","1,543,576"
2020,니켈과 그 제품,75,일본,"6,473.5","3,809.6","38,079","78,275","-40,196"
2020,니켈과 그 제품,75,중국,"3,218.4",673.5,"32,952","24,441","8,511"
2020,알루미늄과 그 제품,76,일본,"61,477.4","129,107.3","265,909","296,103","-30,194"
2020,알루미늄과 그 제품,76,중국,"306,431.6","323,788.9","741,877","995,699","-253,822"
2020,납과 그 제품,78,일본,"6,677.2","8,682.1","13,395","16,037","-2,643"
2020,납과 그 제품,78,중국,"18,021.7",693.9,"34,179","1,807","32,372"
2020,아연과 그 제품,79,일본,"1,683.5",593.8,"4,207","1,078","3,128"
2020,아연과 그 제품,79,중국,"149,298.4",385.1,"337,010","4,720","332,290"
2020,주석과 그 제품,80,일본,119.6,307.9,"2,146","16,327","-14,181"
2020,주석과 그 제품,80,중국,339.5,937.7,"9,374","14,313","-4,938"
2020,"그 밖의 비금속(卑金屬), 서멧(cermet), 이들의 제품",81,일본,"1,373.4","3,110.5","31,543","115,631","-84,089"
2020,"그 밖의 비금속(卑金屬), 서멧(cermet), 이들의 제품",81,중국,"8,075.3","108,118.7","72,669","361,159","-288,491"
2020,"비금속(卑金屬)으로 만든 공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크, 이들의 부분품",82,일본,"12,244.1","3,714.1","179,220","174,052","5,169"
2020,"비금속(卑金屬)으로 만든 공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크, 이들의 부분품",82,중국,"11,038.3","31,736.4","259,169","299,584","-40,414"
2020,비금속(卑金屬)으로 만든 각종 제품,83,일본,"16,872.8","1,013.7","61,068","28,199","32,869"
2020,비금속(卑金屬)으로 만든 각종 제품,83,중국,"18,069.7","84,212.0","117,712","391,789","-274,077"
2020,원자로ㆍ보일러ㆍ기계류와 이들의 부분품,84,일본,"253,071.2","243,922.8","2,836,156","8,605,128","-5,768,972"
2020,원자로ㆍ보일러ㆍ기계류와 이들의 부분품,84,중국,"729,440.9","1,182,964.5","15,792,421","13,866,825","1,925,596"
2020,"전기기기와 그 부분품, 녹음기ㆍ음성 재생기ㆍ텔레비전의 영상과 음성의 기록기ㆍ재생기와 이들의 부분품ㆍ부속품",85,일본,"132,669.0","47,136.2","3,246,351","7,300,027","-4,053,675"
