기준년월, 처리지사코드, 금융지원구분, 지원자수, 지원금액, 적재기준일자, 적재일시
201901,5140,3,27,47670000,20191017,2019-10-18 5:55
201901,5160,3,16,27900000,20191017,2019-10-18 5:55
201901,5170,3,9,17000000,20191017,2019-10-18 5:55
201901,5180,3,21,39600000,20191017,2019-10-18 5:55
201901,5190,3,1,2000000,20191017,2019-10-18 5:55
201901,6000,3,45,87000000,20191017,2019-10-18 5:55
201901,6001,3,8,10850000,20191017,2019-10-18 5:55
201901,6110,3,26,44850000,20191017,2019-10-18 5:55
201901,6120,3,19,35600000,20191017,2019-10-18 5:55
201901,6130,3,18,33400000,20191017,2019-10-18 5:55
201901,6210,3,15,30000000,20191017,2019-10-18 5:55
201901,6220,3,2,4000000,20191017,2019-10-18 5:55
201901,6230,3,6,10000000,20191017,2019-10-18 5:55
201901,6310,3,6,13000000,20191017,2019-10-18 5:55
201901,7000,3,93,146270000,20191017,2019-10-18 5:55
201901,7001,3,5,10000000,20191017,2019-10-18 5:55
201901,7110,3,40,61690000,20191017,2019-10-18 5:55
201901,7120,3,4,5900000,20191017,2019-10-18 5:55
201901,7210,3,39,73600000,20191017,2019-10-18 5:55
201901,7220,3,2,4000000,20191017,2019-10-18 5:55
201902,2040,4,88,518800000,20191017,2019-10-18 5:55
201902,2140,4,14,112500000,20191017,2019-10-18 5:55
201902,4110,4,23,153900000,20191017,2019-10-18 5:55
201902,4000,4,47,330300000,20191017,2019-10-18 5:55
201902,4030,4,21,122980000,20191017,2019-10-18 5:55
201902,4130,4,5,21900000,20191017,2019-10-18 5:55
201902,6220,4,2,18500000,20191017,2019-10-18 5:55
201902,5140,4,44,309900000,20191017,2019-10-18 5:55
201902,7210,4,45,296200000,20191017,2019-10-18 5:55
201902,4140,4,10,89800000,20191017,2019-10-18 5:55
201902,6310,4,12,111200000,20191017,2019-10-18 5:55
201902,7120,4,7,61900000,20191017,2019-10-18 5:55
201902,6210,4,18,129900000,20191017,2019-10-18 5:55
201902,3120,4,20,132200000,20191017,2019-10-18 5:55
201902,3020,4,30,168900000,20191017,2019-10-18 5:55
201902,6230,4,9,55300000,20191017,2019-10-18 5:55
201902,2060,4,61,357600000,20191017,2019-10-18 5:55
201902,3150,4,15,90500000,20191017,2019-10-18 5:55
201902,6120,4,9,61000000,20191017,2019-10-18 5:55
201902,2021,4,19,118200000,20191017,2019-10-18 5:55
201902,7001,4,25,187000000,20191017,2019-10-18 5:55
201902,5160,4,45,278900000,20191017,2019-10-18 5:55
201902,3001,4,28,136400000,20191017,2019-10-18 5:55
201902,5210,4,23,139700000,20191017,2019-10-18 5:55
201902,7110,4,36,197400000,20191017,2019-10-18 5:55
201902,7000,4,63,346700000,20191017,2019-10-18 5:55
201902,3110,4,42,244460000,20191017,2019-10-18 5:55
201902,3010,4,26,154400000,20191017,2019-10-18 5:55
201902,3000,4,43,246200000,20191017,2019-10-18 5:55
201902,6001,4,22,173000000,20191017,2019-10-18 5:55
201902,3130,4,31,190500000,20191017,2019-10-18 5:55
201902,2150,4,8,41000000,20191017,2019-10-18 5:55
201902,5120,4,35,209530000,20191017,2019-10-18 5:55
201902,2120,4,5,37500000,20191017,2019-10-18 5:55
201902,2020,4,41,243200000,20191017,2019-10-18 5:55
201902,5180,4,42,299300000,20191017,2019-10-18 5:55
201902,6110,4,42,252800000,20191017,2019-10-18 5:55
201902,5170,4,18,157700000,20191017,2019-10-18 5:55
201902,2011,4,43,273200000,20191017,2019-10-18 5:55
201902,6130,4,19,99800000,20191017,2019-10-18 5:55
201902,2080,4,17,134000000,20191017,2019-10-18 5:55
201902,5190,4,9,37900000,20191017,2019-10-18 5:55
201902,2050,4,57,344840000,20191017,2019-10-18 5:55
201902,2070,4,41,323180000,20191017,2019-10-18 5:55
201902,4120,4,6,37500000,20191017,2019-10-18 5:55
201902,4020,4,22,168100000,20191017,2019-10-18 5:55
201902,3140,4,24,131700000,20191017,2019-10-18 5:55
201902,6000,4,32,192500000,20191017,2019-10-18 5:55
201902,2030,4,52,299250000,20191017,2019-10-18 5:55
201902,2130,4,11,89950000,20191017,2019-10-18 5:55
201902,5010,4,40,187000000,20191017,2019-10-18 5:55
201902,5110,4,21,145200000,20191017,2019-10-18 5:55
201902,5000,4,50,311530000,20191017,2019-10-18 5:55
201902,5130,4,20,143400000,20191017,2019-10-18 5:55
201902,2110,4,15,112600000,20191017,2019-10-18 5:55
201902,4001,4,15,89300000,20191017,2019-10-18 5:55
201902,2010,4,78,524460000,20191017,2019-10-18 5:55
201902,2000,4,56,354100000,20191017,2019-10-18 5:55
201902,7220,4,7,39200000,20191017,2019-10-18 5:55
201902,2000,1,26,186800000,20191017,2019-10-18 5:55
201902,2000,2,7,58000000,20191017,2019-10-18 5:55
201902,2010,1,31,275000000,20191017,2019-10-18 5:55
201902,2010,2,23,146400000,20191017,2019-10-18 5:55
201902,2011,1,19,152400000,20191017,2019-10-18 5:55
201902,2011,2,6,36300000,20191017,2019-10-18 5:55
201902,2020,1,24,145700000,20191017,2019-10-18 5:55
201902,2020,2,3,18600000,20191017,2019-10-18 5:55
201902,2021,1,4,36500000,20191017,2019-10-18 5:55
201902,2021,2,2,13100000,20191017,2019-10-18 5:55
201902,2030,1,18,120300000,20191017,2019-10-18 5:55
201902,2030,2,1,9900000,20191017,2019-10-18 5:55
201902,2040,1,31,212400000,20191017,2019-10-18 5:55
201902,2040,2,12,96500000,20191017,2019-10-18 5:55
201902,2050,1,22,157900000,20191017,2019-10-18 5:55
201902,2050,2,3,17600000,20191017,2019-10-18 5:55
201902,2060,1,20,165200000,20191017,2019-10-18 5:55
201902,2060,2,3,17700000,20191017,2019-10-18 5:55
201902,2070,1,19,150000000,20191017,2019-10-18 5:55
201902,2070,2,9,89800000,20191017,2019-10-18 5:55
201902,2080,1,4,44000000,20191017,2019-10-18 5:55
201902,2080,2,5,29700000,20191017,2019-10-18 5:55
201902,2110,1,10,78600000,20191017,2019-10-18 5:55
201902,2110,2,1,10000000,20191017,2019-10-18 5:55
201902,2120,1,2,24500000,20191017,2019-10-18 5:55
201902,2130,1,8,58100000,20191017,2019-10-18 5:55
201902,2140,1,9,80700000,20191017,2019-10-18 5:55
201902,2140,2,1,10000000,20191017,2019-10-18 5:55
201902,2150,1,2,6000000,20191017,2019-10-18 5:55
201902,2150,2,5,33000000,20191017,2019-10-18 5:55
201902,3000,1,14,77100000,20191017,2019-10-18 5:55
201902,3000,2,1,10000000,20191017,2019-10-18 5:55
201902,3001,1,7,68300000,20191017,2019-10-18 5:55
201902,3001,2,1,3400000,20191017,2019-10-18 5:55
201902,3010,1,9,59900000,20191017,2019-10-18 5:55
201902,3020,1,5,28800000,20191017,2019-10-18 5:55
201902,3020,2,1,1800000,20191017,2019-10-18 5:55
201902,3110,1,9,70300000,20191017,2019-10-18 5:55
201902,3110,2,7,39800000,20191017,2019-10-18 5:55
201902,3120,2,1,10000000,20191017,2019-10-18 5:55
201902,3130,1,12,68300000,20191017,2019-10-18 5:55
201902,3130,2,8,62200000,20191017,2019-10-18 5:55
201902,3140,1,2,13000000,20191017,2019-10-18 5:55
201902,3140,2,15,48700000,20191017,2019-10-18 5:55
201902,3150,1,4,17800000,20191017,2019-10-18 5:55
201902,4000,1,17,150700000,20191017,2019-10-18 5:55
201902,4000,2,1,3000000,20191017,2019-10-18 5:55
201902,4001,1,9,65700000,20191017,2019-10-18 5:55
201902,4020,1,9,67700000,20191017,2019-10-18 5:55
201902,4020,2,1,10000000,20191017,2019-10-18 5:55
201902,4030,1,10,52100000,20191017,2019-10-18 5:55
201902,4110,1,12,81200000,20191017,2019-10-18 5:55
201902,4120,1,2,5500000,20191017,2019-10-18 5:55
201902,4130,1,2,6900000,20191017,2019-10-18 5:55
201902,4140,1,7,77500000,20191017,2019-10-18 5:55
201902,5000,1,17,106900000,20191017,2019-10-18 5:55
201902,5010,1,14,75500000,20191017,2019-10-18 5:55
201902,5010,2,1,10000000,20191017,2019-10-18 5:55
201902,5110,1,8,66000000,20191017,2019-10-18 5:55
201902,5110,2,3,24200000,20191017,2019-10-18 5:55
201902,5120,1,12,66900000,20191017,2019-10-18 5:55
201902,5120,2,4,32500000,20191017,2019-10-18 5:55
201902,5130,1,14,106500000,20191017,2019-10-18 5:55
201902,5130,2,4,25900000,20191017,2019-10-18 5:55
201902,5140,1,15,121000000,20191017,2019-10-18 5:55
201902,5140,2,6,36600000,20191017,2019-10-18 5:55
201902,5160,1,19,128700000,20191017,2019-10-18 5:55
201902,5160,2,6,54500000,20191017,2019-10-18 5:55
201902,5170,1,14,124700000,20191017,2019-10-18 5:55
201902,5170,2,1,9000000,20191017,2019-10-18 5:55
201902,5180,1,16,147900000,20191017,2019-10-18 5:55
201902,5180,2,5,20100000,20191017,2019-10-18 5:55
201902,5190,1,3,8400000,20191017,2019-10-18 5:55
201902,5190,2,3,13500000,20191017,2019-10-18 5:55
201902,5210,1,15,99600000,20191017,2019-10-18 5:55
201902,5210,2,1,3000000,20191017,2019-10-18 5:55
201902,6000,1,14,86300000,20191017,2019-10-18 5:55
201902,6000,2,7,51300000,20191017,2019-10-18 5:55
201902,6001,1,16,144500000,20191017,2019-10-18 5:55
201902,6001,2,2,13500000,20191017,2019-10-18 5:55
201902,6110,1,20,135000000,20191017,2019-10-18 5:55
201902,6110,2,10,57900000,20191017,2019-10-18 5:55
201902,6120,1,5,49500000,20191017,2019-10-18 5:55
201902,6130,1,9,53600000,20191017,2019-10-18 5:55
201902,6130,2,1,4200000,20191017,2019-10-18 5:55
201902,6210,1,7,49500000,20191017,2019-10-18 5:55
201902,6220,1,1,12500000,20191017,2019-10-18 5:55
201902,6230,1,2,17500000,20191017,2019-10-18 5:55
201902,6230,2,2,12000000,20191017,2019-10-18 5:55
201902,6310,1,9,87000000,20191017,2019-10-18 5:55
201902,6310,2,3,24200000,20191017,2019-10-18 5:55
201902,7000,1,12,71400000,20191017,2019-10-18 5:55
201902,7000,2,6,28800000,20191017,2019-10-18 5:55
201902,7001,1,13,110700000,20191017,2019-10-18 5:55
201902,7001,2,8,52400000,20191017,2019-10-18 5:55
201902,7110,1,14,85800000,20191017,2019-10-18 5:55
201902,7110,2,1,4500000,20191017,2019-10-18 5:55
201902,7120,1,3,25900000,20191017,2019-10-18 5:55
201902,7120,2,1,6000000,20191017,2019-10-18 5:55
201902,7210,1,14,108900000,20191017,2019-10-18 5:55
201902,7210,2,11,69800000,20191017,2019-10-18 5:55
201902,7220,1,4,24200000,20191017,2019-10-18 5:55
201902,2000,3,48,87350000,20191017,2019-10-18 5:55
201902,2010,3,69,122020000,20191017,2019-10-18 5:55
201902,2011,3,36,63700000,20191017,2019-10-18 5:55
201902,2020,3,39,68530000,20191017,2019-10-18 5:55
201902,2021,3,36,59730000,20191017,2019-10-18 5:55
201902,2030,3,75,140880000,20191017,2019-10-18 5:55
201902,2040,3,91,155060000,20191017,2019-10-18 5:55
201902,2050,3,49,84310000,20191017,2019-10-18 5:55
201902,2060,3,80,136530000,20191017,2019-10-18 5:55
201902,2070,3,18,34000000,20191017,2019-10-18 5:55
201902,2080,3,2,4000000,20191017,2019-10-18 5:55
201902,2110,3,3,3500000,20191017,2019-10-18 5:55
201902,2130,3,4,6000000,20191017,2019-10-18 5:55
